GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Farm1194,OTHL-Farm-1194.html,Stars,TEX,3,Mike Richards(36:37): Michael Bournival(34),Matt Hackett (TEX): 35 saves from 37 shots - (0:946): W: 46-19-2: 60:00 minutes ,Wolves,CHI,2,Christian Thomas(51): Maxime Macenauer(60),Andrew Hammond (CHI): 29 saves from 32 shots - (0:906): L: 48-22-4: 59:05 minutes 
Farm1195,OTHL-Farm-1195.html,Pirates,POR,6,Christian Folin(13): Quinton Howden(66): Anthony Stewart(45): Jordan Schroeder(35:36): Jared Boll(23),Unknown Goalie (POR): 18 saves from 21 shots - (0:857): W: 1-0-0: 60:00 minutes ,Aeros,HOU,3,Unknown Player(1:2:3),Dustin Tokarski (HOU): 84 saves from 90 shots - (0:933): L: 24-52-3: 60:00 minutes 
Farm1196,OTHL-Farm-1196.html,Whale,CON,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (CON): 77 saves from 85 shots - (0:906): L: 0-1-0: 60:00 minutes ,Checkers,CHR,8,Rod Pelley(98:99:100:101): Unknown Player(1:2:3:4),Unknown Goalie (CHR): 53 saves from 59 shots - (0:898): W: 1-0-0: 60:00 minutes 
Farm1197,OTHL-Farm-1197.html,Falcons,SPR,4,Eriah Hayes(44): Ryan Jones(19): Tanner Pearson(40): Derek Grant(45),Scott Clemmensen (SPR): 16 saves from 19 shots - (0:842): W: 35-8-1: 60:00 minutes ,Phantoms,ADP,3,Unknown Player(1:2): Patrick Holland(96),Joey MacDonald (ADP): 35 saves from 39 shots - (0:897): L: 45-26-8: 60:00 minutes 
Farm1198,OTHL-Farm-1198.html,Stars,TEX,9,Tye McGinn(29): Christian Hanson(34:35): Unknown Player(1): Mike Richards(38:39:40): Francis Bouillon(19): Jordan Szwarz(59),Matt Hackett (TEX): 14 saves from 15 shots - (0:933): W: 47-19-2: 60:00 minutes ,Bears,HER,1,Unknown Player(1),Unknown Goalie (HER): 10 saves from 14 shots - (0:714): L: 0-1-0: 9:05 minutes Unknown Goalie (HER): 73 saves from 78 shots - (0:936): 50:55 minutes 
Farm1199,OTHL-Farm-1199.html,Heat,ABH,4,John Albert(116): Eric Boulton(48): Tyler Wotherspoon(21): Brian McGrattan(33),Unknown Goalie (ABH): 49 saves from 54 shots - (0:907): L: 0-1-0: 59:32 minutes ,Rivermen,PEO,5,Unknown Player(1): Ryan Parent(36): Jay Rosehill(38): Kevin Westgarth(81:82),Kevin Poulin (PEO): 50 saves from 54 shots - (0:926): W: 50-25-6: 60:00 minutes 
Farm1200,OTHL-Farm-1200.html,Americans,ROC,2,Peter Holland(36): Luke Adam(48),Jacob Markstrom (ROC): 21 saves from 25 shots - (0:840): L: 59-12-1: 60:00 minutes ,Bruins,PRO,4,Cody McCormick(42): Darren Archibald(47:48:49),Keith Kinkaid (PRO): 28 saves from 30 shots - (0:933): W: 55-15-1: 60:00 minutes 
Farm1201,OTHL-Farm-1201.html,Sharks,WOR,6,Freddie Hamilton(55): Bracken Kearns(32): Erik Haula(67): Kris Newbury(44): Brock Nelson(78): Melker Karlsson(43),Dan Ellis (WOR): 25 saves from 30 shots - (0:833): W: 45-2-4: 60:00 minutes ,City Barons,OCB,5,Mikael Granlund(57:58): Ryan Reaves(38:39): Mitchell Callahan(42),Unknown Goalie (OCB): 39 saves from 45 shots - (0:867): L: 0-1-0: 60:00 minutes 
Farm1202,OTHL-Farm-1202.html,Sound Tigers,BPT,7,Unknown Player(1:2:3:4:5:6:7),Unknown Goalie (BPT): 46 saves from 48 shots - (0:958): W: 1-0-0: 60:00 minutes ,Rampage,SAR,2,Unknown Player(1:2),Unknown Goalie (SAR): 57 saves from 64 shots - (0:891): L: 0-1-0: 60:00 minutes 
Farm1203,OTHL-Farm-1203.html,Rampage,SAR,0,,Unknown Goalie (SAR): 66 saves from 74 shots - (0:892): L: 0-1-0: 60:00 minutes ,Devils,ALB,8,Patrick Brown(17): Mike Sislo(52): Matt Tennyson(11): Jayson Megna(49:50): Carter Camper(31): Ben Holmstrom(34): Stefan Elliott(24),Robin Lehner (ALB): 17 saves from 17 shots - (1:000): W: 58-14-6: 60:00 minutes 
Farm1204,OTHL-Farm-1204.html,Marlies,TOR,8,Tyler Pitlick(21): George Parros(30:31:32:33): Taylor Beck(18:19): Unknown Player(1),Scott Stajcer (TOR): 32 saves from 35 shots - (0:914): W: 9-8-2: 60:00 minutes ,Bulldogs,HAM,3,Maxime Sauve(75:76): Unknown Player(1),Unknown Goalie (HAM): 9 saves from 13 shots - (0:692): L: 0-1-0: 6:58 minutes Unknown Goalie (HAM): 49 saves from 53 shots - (0:925): 53:02 minutes 
Farm1205,OTHL-Farm-1205.html,City Barons,OCB,8,Tim Sestito(32): Scott Wilson(28): Brian Lashoff(22): Mikael Granlund(59): Ryan Reaves(40:41): Adam Cracknell(51): Mitchell Callahan(43),Unknown Goalie (OCB): 24 saves from 28 shots - (0:857): W: 1-0-0: 60:00 minutes ,Heat,ABH,4,John Albert(117:118:119): Tyler Wotherspoon(22),Unknown Goalie (ABH): 26 saves from 30 shots - (0:867): 39:39 minutes Unknown Goalie (ABH): 15 saves from 19 shots - (0:789): L: 0-1-0: 20:21 minutes 
Farm1206,OTHL-Farm-1206.html,Sharks,WOR,13,Bracken Kearns(33): Kris Newbury(45): Aleksander Barkov(65:66:67:68): Brock Nelson(79:80): Dmitry Orlov(13:14): Melker Karlsson(44:45:46),Dan Ellis (WOR): 17 saves from 17 shots - (1:000): W: 46-2-4: 60:00 minutes ,Monarchs,MAN,0,,Unknown Goalie (MAN): 12 saves from 16 shots - (0:750): L: 0-1-0: 10:20 minutes Unknown Goalie (MAN): 63 saves from 72 shots - (0:875): 49:40 minutes 
Farm1207,OTHL-Farm-1207.html,Rampage,SAR,1,Unknown Player(1),Unknown Goalie (SAR): 27 saves from 34 shots - (0:794): L: 0-1-0: 20:56 minutes Unknown Goalie (SAR): 48 saves from 53 shots - (0:906): 39:04 minutes ,Americans,ROC,12,Anders Lee(51:52): Peter Holland(37:38): Luke Adam(49:50): Corey Tropp(38:39): Jeremy Morin(52:53:54): Dmitrij Jaskin(25),Jacob Markstrom (ROC): 16 saves from 17 shots - (0:941): W: 60-12-1: 60:00 minutes 
Farm1208,OTHL-Farm-1208.html,Devils,ALB,3,Chris Breen(10): Matt Taormina(17),Robin Lehner (ALB): 28 saves from 30 shots - (0:933): W: 59-14-6: 65:00 minutes ,Monsters,LEM,2,Unknown Player(1:2),Unknown Goalie (LEM): 37 saves from 39 shots - (0:949): OTL: 0-0-1: 65:00 minutes 
Farm1209,OTHL-Farm-1209.html,Monarchs,MAN,3,Unknown Player(1:2:3),Unknown Goalie (MAN): 34 saves from 40 shots - (0:850): L: 0-1-0: 60:00 minutes ,Crunch,SYR,6,Carl Klingberg(26): Joe Colborne(35:36): Colton Sissons(43:44): Jacob Trouba(6),Brian Foster (SYR): 21 saves from 24 shots - (0:875): W: 67-11-1: 60:00 minutes 
Farm1210,OTHL-Farm-1210.html,IceCaps,STJ,4,Unknown Player(1:2:3): Cody Ceci(25),Vitek Vanecek (STJ): 47 saves from 52 shots - (0:904): L: 25-23-1: 59:38 minutes ,IceHogs,RCK,5,Unknown Player(1:2:3:4:5),Unknown Goalie (RCK): 33 saves from 37 shots - (0:892): W: 1-0-0: 60:00 minutes 
Farm1211,OTHL-Farm-1211.html,City Barons,OCB,5,Mikael Granlund(60): Ryan Reaves(42): Mitchell Callahan(44:45): Unknown Player(1),Unknown Goalie (OCB): 7 saves from 11 shots - (0:636): 17:00 minutes Unknown Goalie (OCB): 19 saves from 22 shots - (0:864): L: 0-1-0: 43:00 minutes ,Pirates,POR,7,Quinton Howden(67): Anthony Stewart(46): Jordan Schroeder(37): Jared Boll(24:25): Tim Schaller(18:19),Unknown Goalie (POR): 15 saves from 20 shots - (0:750): W: 1-0-0: 60:00 minutes 
Farm1212,OTHL-Farm-1212.html,Bulldogs,HAM,7,Maxime Sauve(77:78): Unknown Player(1:2:3:4:5),Unknown Goalie (HAM): 56 saves from 59 shots - (0:949): W: 1-0-0: 60:00 minutes ,Whale,CON,3,Unknown Player(1:2:3),Unknown Goalie (CON): 88 saves from 95 shots - (0:926): L: 0-1-0: 60:00 minutes 
Farm1213,OTHL-Farm-1213.html,City Barons,OCB,3,Tim Sestito(33): Mitchell Callahan(46:47),Unknown Goalie (OCB): 10 saves from 14 shots - (0:714): L: 0-1-0: 15:16 minutes Unknown Goalie (OCB): 30 saves from 35 shots - (0:857): 44:44 minutes ,Senators,BNG,9,Alexandre Bolduc(35): Steven Kampfer(7): Tyler Toffoli(49): Nicholas Shore(29): Connor Carrick(12): Matt Nieto(21:22): Richard Panik(9:10),Anton Forsberg (BNG): 24 saves from 27 shots - (0:889): W: 24-12-1: 60:00 minutes 
Farm1214,OTHL-Farm-1214.html,Bulldogs,HAM,0,,Unknown Goalie (HAM): 8 saves from 12 shots - (0:667): L: 0-1-0: 8:09 minutes Unknown Goalie (HAM): 59 saves from 65 shots - (0:908): 51:51 minutes ,Penguins,WBS,10,Jed Ortmeyer(31:32): Jamie Devane(34): David Dziurzynski(33): Justin Florek(47): Sean Collins(68:69): Daniel Carcillo(35:36): Bobby Robins(18),Ilya Bryzgalov (WBS): 25 saves from 25 shots - (1:000): W: 63-15-3: 60:00 minutes 
Farm1215,OTHL-Farm-1215.html,Monsters,LEM,2,Unknown Player(1:2),Unknown Goalie (LEM): 61 saves from 66 shots - (0:924): L: 0-1-0: 60:00 minutes ,Falcons,SPR,5,Benn Ferriero(35): Frank Corrado(12): Tanner Pearson(41): Derek Grant(46): Jordan Caron(28),Scott Clemmensen (SPR): 21 saves from 23 shots - (0:913): W: 36-8-1: 60:00 minutes 
Farm1216,OTHL-Farm-1216.html,Senators,BNG,5,Alexandre Bolduc(36:37): Steven Kampfer(8): Tyler Toffoli(50): Matt Fraser(51),Anton Forsberg (BNG): 26 saves from 29 shots - (0:897): W: 25-12-1: 60:00 minutes ,Marlies,TOR,3,George Parros(34:35): Unknown Player(1),Scott Stajcer (TOR): 29 saves from 33 shots - (0:879): L: 9-9-2: 59:15 minutes 
Farm1217,OTHL-Farm-1217.html,Crunch,SYR,10,Martin Marincin(13:14): Emerson Etem(54): Charlie Coyle(46): Sven Baertschi(27): Sean Monahan(53): Joe Colborne(37): Colton Sissons(45:46:47),Brian Foster (SYR): 23 saves from 24 shots - (0:958): W: 68-11-1: 60:00 minutes ,Admirals,MIL,1,Jared Staal(17),Unknown Goalie (MIL): 16 saves from 21 shots - (0:762): L: 0-1-0: 26:40 minutes Unknown Goalie (MIL): 30 saves from 35 shots - (0:857): 33:20 minutes 
Farm1218,OTHL-Farm-1218.html,IceHogs,RCK,0,,Unknown Goalie (RCK): 82 saves from 91 shots - (0:901): L: 0-1-0: 60:00 minutes ,Wolves,CHI,9,Aaron Ness(21:22): Christian Thomas(52): Iiro Pakarinen(48): Shane Prince(14:15:16:17): Maxime Macenauer(61),Andrew Hammond (CHI): 17 saves from 17 shots - (1:000): W: 49-22-4: 60:00 minutes 
Farm1219,OTHL-Farm-1219.html,Devils,ALB,5,Tyler Eckford(11): Patrick Brown(18): Jayson Megna(51:52): Matt Taormina(18),Robin Lehner (ALB): 22 saves from 24 shots - (0:917): W: 60-14-6: 60:00 minutes ,Sound Tigers,BPT,2,Unknown Player(1:2),Unknown Goalie (BPT): 45 saves from 50 shots - (0:900): L: 0-1-0: 60:00 minutes 
Farm1220,OTHL-Farm-1220.html,Americans,ROC,8,Anders Lee(53:54): Cedric Paquette(21): Peter Holland(39:40): Jerry DAmigo(49): Cody Goloubef(8): Landon Ferraro(22),Jacob Markstrom (ROC): 23 saves from 26 shots - (0:885): W: 61-12-1: 60:00 minutes ,Checkers,CHR,3,Rod Pelley(102): Unknown Player(1:2),Unknown Goalie (CHR): 9 saves from 13 shots - (0:692): L: 0-1-0: 11:44 minutes Unknown Goalie (CHR): 42 saves from 46 shots - (0:913): 48:16 minutes 
Farm1221,OTHL-Farm-1221.html,Penguins,WBS,3,Justin Florek(48): Daniel Carcillo(37): Bobby Robins(19),Ilya Bryzgalov (WBS): 25 saves from 26 shots - (0:962): W: 64-15-3: 60:00 minutes ,Admirals,NOR,1,Brandon McMillan(44),Marek Mazanec (NOR): 15 saves from 18 shots - (0:833): L: 72-9-0: 60:00 minutes 
Farm1222,OTHL-Farm-1222.html,Whale,CON,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (CON): 57 saves from 61 shots - (0:934): W: 1-0-0: 60:00 minutes ,Bears,HER,4,Unknown Player(1:2:3:4),Unknown Goalie (HER): 49 saves from 55 shots - (0:891): L: 0-1-0: 60:00 minutes 
Farm1223,OTHL-Farm-1223.html,Rampage,SAR,4,Unknown Player(1:2:3:4),Unknown Goalie (SAR): 49 saves from 55 shots - (0:891): L: 0-1-0: 60:00 minutes ,IceCaps,STJ,6,Unknown Player(1:2:3:4): Cody Ceci(26:27),Vitek Vanecek (STJ): 35 saves from 39 shots - (0:897): W: 26-23-1: 60:00 minutes 
Farm1224,OTHL-Farm-1224.html,Monsters,LEM,0,,Unknown Goalie (LEM): 12 saves from 16 shots - (0:750): L: 0-1-0: 14:06 minutes Unknown Goalie (LEM): 43 saves from 50 shots - (0:860): 45:54 minutes ,Stars,TEX,11,Tye McGinn(30:31:32:33:34:35): Mark Borowiecki(11): Mike Richards(41:42): Stefan Della Rovere(30): Francis Bouillon(20),Matt Hackett (TEX): 26 saves from 26 shots - (1:000): W: 48-19-2: 60:00 minutes 
Farm1225,OTHL-Farm-1225.html,Pirates,POR,2,Barclay Goodrow(39): Micheal Haley(32),Unknown Goalie (POR): 11 saves from 17 shots - (0:647): L: 0-1-0: 32:55 minutes Unknown Goalie (POR): 12 saves from 16 shots - (0:750): 27:05 minutes ,Sharks,WOR,10,Freddie Hamilton(56): Bracken Kearns(34): Mike Moore(10): Erik Haula(68:69): Aleksander Barkov(69:70): Brock Nelson(81): Dmitry Orlov(15): Melker Karlsson(47),Dan Ellis (WOR): 25 saves from 27 shots - (0:926): W: 47-2-4: 60:00 minutes 
Farm1226,OTHL-Farm-1226.html,Heat,ABH,4,Tyler Wotherspoon(23): Josh Jooris(66:67:68),Unknown Goalie (ABH): 11 saves from 15 shots - (0:733): 12:12 minutes Unknown Goalie (ABH): 43 saves from 47 shots - (0:915): L: 0-1-0: 47:48 minutes ,Bruins,PRO,8,Michael Latta(54:55): Jason Akeson(68:69): Cody McCormick(43:44): Darren Archibald(50): Zac Dalpe(37),Keith Kinkaid (PRO): 36 saves from 40 shots - (0:900): W: 56-15-1: 60:00 minutes 
Farm1227,OTHL-Farm-1227.html,Monarchs,MAN,3,Unknown Player(1:2:3),Unknown Goalie (MAN): 72 saves from 78 shots - (0:923): L: 0-1-0: 60:00 minutes ,Griffins,GRP,6,Unknown Player(1:2:3:4): Brandon Yip(79:80),Richard Bachman (GRP): 21 saves from 24 shots - (0:875): W: 28-11-3: 60:00 minutes 
Farm1228,OTHL-Farm-1228.html,Americans,ROC,9,Anders Lee(55): Cedric Paquette(22): Corey Tropp(40): Jeremy Morin(55): Jerry DAmigo(50:51): Dmitrij Jaskin(26:27): Landon Ferraro(23),Jacob Markstrom (ROC): 22 saves from 26 shots - (0:846): W: 62-12-1: 60:00 minutes ,Phantoms,ADP,4,Unknown Player(1:2): Mike Zigomanis(65): Patrick Holland(97),Joey MacDonald (ADP): 13 saves from 17 shots - (0:765): 18:24 minutes Allen York (ADP): 43 saves from 48 shots - (0:896): L: 1-2-0: 41:36 minutes 
Farm1229,OTHL-Farm-1229.html,Devils,ALB,5,Kellan Lain(16): Nicolas Blanchard(33:34): Carter Camper(32): Ben Holmstrom(35),Robin Lehner (ALB): 17 saves from 19 shots - (0:895): W: 61-14-6: 60:00 minutes ,Aeros,HOU,2,Unknown Player(1:2),Dustin Tokarski (HOU): 43 saves from 48 shots - (0:896): L: 24-53-3: 60:00 minutes 
Farm1230,OTHL-Farm-1230.html,Heat,ABH,3,John Albert(120): Unknown Player(1): Josh Jooris(69),Unknown Goalie (ABH): 46 saves from 53 shots - (0:868): L: 0-1-0: 60:00 minutes ,Rivermen,PEO,7,Unknown Player(1:2): Ryan Parent(37): Jay Rosehill(39:40): Kevin Westgarth(83): Frederic St. Denis(32),Kevin Poulin (PEO): 40 saves from 43 shots - (0:930): W: 51-25-6: 60:00 minutes 
