InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Empty5,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
355,2802,Bryan Rust,http://www.tsn.ca/nhl/player-bio/bryan-rust,21,USA,1992-05-11,28,192,71,False,True,True,False,2,False,False,False,False,False,True,True,False,False,False,0,3500000,3500000,3500000,0,0,0,0,0,0,0,0,,0,100,0,8475810,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,78,44,84,82,69,83,81,82,31,86,92,70,75,66,68,84,50,75,11,50,4,6,10,4,0,0,2,13,40,18,16,2,0,19,43,2,3,0,13806,0,0,2,9,1552,0,0,2,1503,0,0,2054,0,0,0,1,0,1,245,2090,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,
356,4221,Nicolas Hague,https://www.tsn.ca/nhl/player-bio/nicolas-hague,0,ONT,1998-12-05,21,214,78,False,False,False,True,1,True,False,False,False,False,True,True,False,False,False,0,791668,791668,0,0,0,0,0,0,0,0,0,,0,100,0,8479980,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,83,46,76,78,82,69,84,66,25,60,48,56,25,47,47,61,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
357,3214,Vladislav Kamenev,http://www.tsn.ca/nhl/player-bio/vladislav-kamenev,16,RUS,1996-08-12,24,194,74,True,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,950000,950000,950000,0,0,0,0,0,0,0,0,,0,100,0,8477973,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,73,43,92,80,72,52,56,64,62,64,56,61,25,51,51,62,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,5,13,18,15,6,0,3,14,26,27,18,1,1,9,12,0,1,0,13190,0,1,1,5,1947,0,0,0,168,0,0,3072,0,0,0,1,0,1,0,0,1,1,40,4195,4195,
359,359,Joe Pavelski,http://www.tsn.ca/nhl/player-bio/joe-pavelski,31,USA,1984-07-11,36,195,71,True,False,True,False,1,False,False,False,False,False,True,True,False,False,False,0,8600000,8600000,0,0,0,0,0,0,0,0,0,,0,100,0,8470794,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,73,48,88,75,70,77,92,81,90,73,83,69,70,85,92,74,50,73,11,29,3,3,6,4,8,0,3,8,23,11,12,0,0,7,10,0,0,0,10303,0,2,1,12,2034,0,0,0,0,0,0,942,0,0,0,1,0,0,155,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,
360,3215,Grayson Downing,http://www.tsn.ca/nhl/player-bio/grayson-downing,0,BC,1992-04-18,28,197,72,False,True,False,False,0,False,False,False,False,False,True,True,False,False,False,0,925000,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,68,71,61,67,71,52,53,50,50,47,46,59,44,50,50,52,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
361,3216,Nick Moutrey,http://www.tsn.ca/nhl/player-bio/nick-moutrey,21,ONT,1995-06-23,25,218,75,True,True,True,False,2,False,False,False,False,False,True,True,False,False,False,0,750000,525000,525000,0,0,0,0,0,0,0,0,,0,100,0,8477430,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,81,80,82,65,80,69,74,49,61,46,47,64,45,44,44,56,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,11,14,25,6,15,5,10,28,43,19,41,0,1,16,21,0,2,0,16295,1,0,1,4,1674,0,0,0,764,0,0,5083,0,0,1,1,0,2,0,3,1,0,735,2915,2915,
362,4222,Max Comtois,https://www.eliteprospects.com/player/201534/maxime-comtois,7,QUE,1999-01-08,21,207,74,False,True,False,False,2,True,False,False,False,False,True,True,False,False,False,0,820003,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,8480031,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,86,90,77,78,78,66,67,73,32,66,70,61,75,46,46,70,50,65,9,4,0,0,0,-4,2,0,0,1,6,6,4,0,0,0,0,0,0,0,2888,0,0,0,0,0,0,0,0,24,0,0,227,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
363,4223,Mario Ferraro,https://www.tsn.ca/nhl/player-bio/mario-ferraro,26,ONT,1998-09-17,22,185,71,False,False,False,True,3,True,False,False,False,False,True,True,False,False,False,0,925000,925000,925000,925000,0,0,0,0,0,0,0,,0,100,0,8479983,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,85,44,85,80,67,68,68,61,25,51,48,71,25,51,51,61,50,64,12,8,0,0,0,-2,24,0,11,5,0,26,9,0,0,0,0,0,0,0,12111,0,0,0,1,44,0,0,0,1453,0,0,811,0,0,0,0,0,0,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,
364,364,Tyler Ennis,http://www.tsn.ca/nhl/player-bio/tyler-ennis,22,AB,1989-10-06,31,161,69,True,True,True,False,3,False,False,False,False,True,True,True,False,False,False,0,3000000,3000000,3000000,3000000,0,0,0,0,0,0,0,,0,100,0,8474589,0,0,0,,0,3,2,2,2,2,2,2,2,2,2,79,43,90,85,58,68,78,77,39,75,74,61,65,73,74,74,50,69,11,29,4,5,9,4,6,0,1,11,25,14,11,0,0,6,16,0,0,0,11296,0,1,2,5,1427,0,0,0,432,0,0,1083,0,0,0,1,0,1,0,1675,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,
365,3217,Hunter Smith,http://www.tsn.ca/nhl/player-bio/hunter-smith-78436,0,ONT,1995-09-10,25,208,79,False,False,True,False,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,78,81,72,63,81,59,61,52,50,52,47,63,45,44,44,55,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
366,366,Joe Thornton,http://www.tsn.ca/nhl/player-bio/joe-thornton,14,ONT,1979-07-02,41,220,76,True,False,False,False,1,False,False,False,False,True,True,True,False,False,False,0,1000000,1000000,0,0,0,0,0,0,0,0,0,,0,100,0,8466138,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,61,42,85,72,83,70,89,78,80,77,59,59,63,99,99,66,50,69,11,9,1,2,3,0,0,0,1,4,9,2,17,0,0,136,244,0,0,0,10970,0,0,1,4,1347,0,0,0,133,0,0,499,0,0,0,0,0,0,120,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,
367,3218,Josh Currie,https://www.tsn.ca/nhl/player-bio/josh-currie,25,PEI,1992-10-29,28,190,71,True,False,True,False,2,False,False,False,False,False,True,True,False,False,False,0,900000,900000,900000,0,0,0,0,0,0,0,0,,0,100,0,8477680,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,70,69,71,65,69,78,82,64,80,56,67,62,64,45,45,66,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
368,3219,Josiah Didier,https://www.tsn.ca/nhl/player-bio/josiah-didier/,22,USA,1993-04-08,27,202,74,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,750000,0,0,0,0,0,0,0,,0,100,0,8476421,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,72,75,65,64,75,63,68,48,25,39,41,59,39,45,45,52,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
369,369,Ryan Suter,http://www.tsn.ca/nhl/player-bio/ryan-suter,4,USA,1985-01-20,35,202,74,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,9625000,9625000,9625000,0,0,0,0,0,0,0,0,,0,100,0,8470600,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,69,43,94,85,75,91,93,83,25,78,53,84,25,88,92,72,50,77,11,18,0,10,10,7,4,0,9,6,13,4,13,0,0,0,0,0,0,0,16774,0,0,2,12,2954,0,0,0,1596,0,0,2460,0,0,0,2,1,0,295,1720,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,
370,3926,Carl Grundstrom,https://www.tsn.ca/nhl/player-bio/carl-grundstrom,30,SWE,1997-12-01,22,194,72,False,True,True,False,2,False,False,False,False,False,True,True,False,False,False,0,925000,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,8479336,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,87,45,82,76,70,63,79,63,25,75,55,59,25,46,46,65,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
371,371,Jake Muzzin,http://www.tsn.ca/nhl/player-bio/jake-muzzin,1,ONT,1989-02-20,31,213,75,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,8000000,8000000,8000000,8000000,8000000,0,0,0,0,0,0,,0,100,0,8474162,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,86,46,79,80,79,83,84,63,25,65,51,89,25,73,76,68,50,74,11,18,0,5,5,2,12,0,22,5,18,25,16,0,0,0,0,0,0,0,15626,0,0,1,12,1450,0,0,1,1384,0,0,1900,0,0,0,0,0,0,230,995,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,
372,2804,Chris Tierney,http://www.tsn.ca/nhl/player-bio/chris-tierney,3,ONT,1994-07-01,26,195,73,True,True,False,False,3,False,False,False,False,False,True,True,False,False,False,0,3625000,3625000,3625000,3625000,0,0,0,0,0,0,0,,0,100,0,8476919,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,67,42,90,84,72,75,93,66,91,78,68,86,25,69,71,75,50,71,10,30,3,3,6,3,0,0,3,12,23,2,29,1,0,47,78,0,0,0,11723,0,0,0,5,1656,0,0,3,1884,0,0,1644,0,0,0,1,0,0,40,1150,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
373,3927,Max Veronneau,https://www.tsn.ca/nhl/player-bio/max-veronneau,7,ONT,1995-12-11,24,181,72,False,False,True,False,1,False,False,False,False,False,True,True,False,False,False,0,925000,925000,0,0,0,0,0,0,0,0,0,,0,100,0,8480314,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,76,67,96,64,67,59,61,53,50,47,53,63,50,45,45,58,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,6,1,7,7,2,0,2,8,11,11,9,1,0,2,6,0,0,0,7161,0,0,0,0,7,0,0,0,0,0,0,1222,0,0,0,0,0,0,0,0,1,1,20,2745,2745,
374,3221,Morgan Klimchuk,http://www.tsn.ca/nhl/player-bio/morgan-klimchuk,27,SKW,1995-03-01,25,185,72,False,True,False,False,1,False,False,False,False,False,True,True,False,False,False,0,863333,863333,0,0,0,0,0,0,0,0,0,,0,100,0,8477449,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,75,68,90,66,68,61,62,60,50,56,60,64,57,44,44,63,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56,10,7,17,5,4,0,6,16,42,27,19,1,0,11,18,0,0,0,12545,2,2,2,7,1248,1,0,1,1336,0,0,2425,0,0,0,2,0,1,1,1,0,0,580,3785,3785,
375,3928,Karson Kuhlman,https://www.tsn.ca/nhl/player-bio/karson-kuhlman,25,USA,1995-09-26,25,180,71,True,False,True,False,1,False,False,False,False,False,True,True,False,False,False,0,750000,750000,0,0,0,0,0,0,0,0,0,,0,100,0,8480901,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,79,67,84,65,67,63,69,60,32,65,56,61,25,47,48,62,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
376,3222,Austin Carroll,http://www.tsn.ca/nhl/player-bio/austin-carroll,0,USA,1994-03-25,26,212,75,False,False,True,False,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,64,79,30,64,79,48,49,49,50,38,53,58,50,55,55,52,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
377,1732,Brett Connolly,http://www.tsn.ca/nhl/player-bio/brett-connolly,22,BC,1992-05-02,28,195,75,False,True,True,False,5,False,False,False,False,False,True,True,False,False,False,0,3000000,3000000,3000000,3000000,3000000,3000000,0,0,0,0,0,,0,100,0,8475792,0,0,0,,0,3,2,2,2,2,2,2,2,2,2,71,43,88,81,74,67,92,69,35,65,79,52,25,72,74,72,50,67,11,6,1,1,2,-6,0,0,0,2,8,3,10,0,0,3,14,0,0,0,8611,0,0,0,0,260,0,0,0,56,0,0,298,0,0,0,0,0,0,90,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
378,377,Brandon Pirri,http://www.tsn.ca/nhl/player-bio/brandon-pirri,15,ONT,1991-04-10,29,186,72,True,True,True,False,2,False,False,False,False,False,True,True,False,False,False,0,1250000,1250000,1250000,0,0,0,0,0,0,0,0,,0,100,0,8475204,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,75,43,85,68,68,63,74,66,57,61,55,56,85,67,68,61,50,62,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1,0,0,0,1008,0,0,0,0,208,0,0,0,0,0,0,38,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
379,3223,Jan Kostalek,http://www.tsn.ca/nhl/player-bio/jan-kostalek,0,CZE,1995-02-16,25,181,73,False,False,False,True,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,73,68,86,64,68,60,64,46,25,28,49,59,47,44,44,53,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
380,3355,Lawson Crouse,http://www.tsn.ca/nhl/player-bio/lawson-crouse,13,ONT,1997-06-23,23,220,76,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,1700000,1700000,1700000,0,0,0,0,0,0,0,0,,0,100,0,8478474,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,95,78,85,83,84,65,91,60,49,62,74,78,25,64,64,75,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,56,15,15,30,24,12,0,2,21,35,40,15,1,1,23,34,0,0,0,15736,2,2,5,8,2242,0,0,5,2328,0,0,2632,0,0,0,4,1,1,1,8,0,0,745,7120,7120,
382,1733,Brayden McNabb,http://www.tsn.ca/nhl/player-bio/brayden-mcnabb,3,SKW,1991-01-20,29,212,76,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,2800000,2800000,2800000,0,0,0,0,0,0,0,0,,0,100,0,8475188,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,93,47,83,76,80,80,93,59,25,49,48,91,25,71,73,66,50,73,10,11,0,2,2,2,6,0,16,5,10,20,10,0,0,0,0,0,0,0,14937,0,0,0,5,2149,0,0,0,1518,0,0,1247,0,0,0,0,0,0,185,740,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,
383,3224,Colton Beck,https://www.tsn.ca/nhl/player-bio/colton-beck,0,BC,1990-06-10,30,187,70,False,True,False,False,0,False,False,False,False,False,True,True,False,False,False,0,525000,0,0,0,0,0,0,0,0,0,0,,0,100,0,8477843,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,74,66,92,65,66,72,78,50,50,47,47,63,45,53,53,56,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
384,1734,Zac Rinaldo,http://www.tsn.ca/nhl/player-bio/zac-rinaldo,0,ONT,1990-06-15,30,192,70,False,True,True,False,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,8474736,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,99,99,53,68,71,51,54,53,25,60,70,61,25,66,67,66,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
385,4224,Dante Fabbro,https://www.tsn.ca/nhl/player-bio/dante-fabbro,24,BC,1998-06-20,22,189,72,False,False,False,True,3,True,False,False,False,False,True,True,False,False,False,0,925001,1491000,1491000,1491000,0,0,0,0,0,0,0,,0,100,0,8479371,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,71,42,83,86,68,77,70,63,25,48,49,70,25,51,51,61,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,17,20,18,8,0,4,8,8,16,11,1,0,0,0,0,0,0,15474,0,0,0,0,0,0,1,0,1711,0,0,3071,0,0,0,0,1,1,0,5,3,0,985,4360,4360,
386,3226,Tim Brent,http://www.tsn.ca/nhl/player-bio/tim-brent,0,ONT,1984-07-01,36,188,72,True,False,False,False,0,False,False,False,False,False,True,True,False,False,False,0,600000,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,69,68,72,70,68,50,49,49,64,59,44,56,42,44,44,1,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
387,386,Blake Wheeler,http://www.tsn.ca/nhl/player-bio/blake-wheeler,12,USA,1986-08-30,34,225,77,True,False,True,False,4,False,False,False,False,True,True,True,False,False,False,0,8500000,8500000,8500000,8500000,8500000,0,0,0,0,0,0,,0,100,0,8471218,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,79,55,84,86,86,81,94,86,81,90,82,63,70,84,87,81,50,77,11,33,6,6,12,8,6,0,0,10,29,15,24,2,0,133,254,1,1,0,11841,1,1,1,7,1454,0,0,0,10,0,0,1498,0,0,0,2,0,2,390,2650,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,
388,3227,Ashton Sautner,https://www.tsn.ca/nhl/player-bio/ashton-sautner,25,MB,1994-05-27,26,195,73,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,900000,900000,900000,0,0,0,0,0,0,0,0,,0,100,0,8477085,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,74,72,77,64,72,63,67,48,25,40,39,63,37,56,56,52,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
389,3356,Troy Stecher,http://www.tsn.ca/nhl/player-bio/troy-stecher,9,BC,1994-04-07,26,190,70,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,2400000,2400000,0,0,0,0,0,0,0,0,0,,0,100,0,8479442,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,75,43,86,83,68,67,91,61,25,52,49,78,25,63,63,64,50,68,12,6,0,3,3,0,2,0,11,2,5,24,3,0,0,0,0,0,0,0,10207,0,0,0,0,57,0,0,0,16,0,0,801,0,0,0,0,0,0,125,1130,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,
390,389,Nick Bonino,http://www.tsn.ca/nhl/player-bio/nick-bonino,29,USA,1988-04-20,32,196,73,True,False,False,False,2,False,False,False,False,True,True,True,False,False,False,0,4000000,4000000,4000000,0,0,0,0,0,0,0,0,,0,100,0,8474009,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,61,41,91,79,72,74,91,70,93,70,78,93,68,73,77,79,50,73,10,28,4,6,10,1,2,0,2,12,33,13,30,0,0,181,282,0,0,0,11403,0,0,0,0,0,0,0,1,2051,0,0,1142,0,0,0,0,0,2,55,1795,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,
