Day,Visitor Team #,Visitor Team,Home Team #,Home Team,Visitor Team #,Visitor Team,Home Team #,Home Team
41,1,Anaheim Ducks,10,Dallas Stars ,19,Bridgeport Sound Tigers,9,Springfield Falcons
41,-,-,-,-,2,Chicago Wolves,10,Dallas Stars
42,21,Ottawa Senators,6,Carolina Hurricanes ,20,Hartford Wolf Pack,14,Manchester Monarchs
42,29,Vancouver Canucks,24,Pittsburgh Penguins ,21,Binghampton Senators,1,Syracuse Crunch
42,4,Buffalo Sabres,30,Washington Capitals ,23,San Antonio Rampage,25,Peoria Rivermen
42,13,Florida Panthers,2,Atlanta Thrashers ,22,Adirondack Phantoms,6,Charlotte Checkers
42,25,St. Louis Blues,11,Detroit Red Wings ,11,Grand Rapids Griffins,8,Lake Erie Monsters
42,27,Tampa Bay Lightning,19,New York Islanders ,2,Chicago Wolves,15,Houston Aeros
42,3,Boston Bruins,20,New York Rangers ,-,-,-,-
42,1,Anaheim Ducks,15,Minnesota Wild ,-,-,-,-
42,26,San Jose Sharks,8,Colorado Avalanche ,-,-,-,-
42,7,Chicago Blackhawks,12,Edmonton Oilers ,-,-,-,-
42,23,Phoenix Coyotes,5,Calgary Flames ,-,-,-,-
42,9,Columbus Blue Jackets,14,Los Angeles Kings ,-,-,-,-
43,27,Tampa Bay Lightning,22,Philadelphia Flyers ,7,Rockford IceHogs,29,Manitoba Moose
43,18,New Jersey Devils,28,Toronto Maple Leafs ,-,-,-,-
43,13,Florida Panthers,3,Boston Bruins ,-,-,-,-
43,17,Nashville Predators,16,Montreal Canadiens ,-,-,-,-
43,26,San Jose Sharks,10,Dallas Stars ,-,-,-,-
44,6,Carolina Hurricanes,24,Pittsburgh Penguins ,22,Adirondack Phantoms,6,Charlotte Checkers
44,15,Minnesota Wild,11,Detroit Red Wings ,15,Houston Aeros,11,Grand Rapids Griffins
44,30,Washington Capitals,2,Atlanta Thrashers ,26,Worcester Sharks,14,Manchester Monarchs
44,14,Los Angeles Kings,4,Buffalo Sabres ,30,Hershey Bears,21,Binghampton Senators
44,21,Ottawa Senators,25,St.Louis Blues ,19,Bridgeport Sound Tigers,3,Providence Bruins
44,23,Phoenix Coyotes,12,Edmonton Oilers ,27,Norfolk Admirals,24,Wilkes-Barre/Scranton Penguins
44,20,New York Rangers,8,Colorado Avalanche ,28,Toronto Marlies,8,Lake Erie Monsters
44,7,Chicago Blackhawks,5,Calgary Flames ,20,Hartford Wolf Pack,9,Springfield Falcons
44,9,Columbus Blue Jackets,1,Anaheim Ducks ,18,Albany Devils,1,Syracuse Crunch
44,-,-,-,-,16,Hamilton Bulldogs,13,Rochester Americans
44,-,-,-,-,17,Milwaukee Admirals,23,San Antonio Rampage
44,-,-,-,-,10,Dallas Stars,12,Oklahoma City Barons
44,-,-,-,-,5,Abbotsford Heat,25,Peoria Rivermen
44,-,-,-,-,7,Rockford IceHogs,29,Manitoba Moose
45,27,Tampa Bay Lightning,4,Buffalo Sabres ,16,Hamilton Bulldogs,28,Toronto Marlies
45,13,Florida Panthers,19,New York Islanders ,14,Manchester Monarchs,19,Bridgeport Sound Tigers
45,14,Los Angeles Kings,3,Boston Bruins ,8,Lake Erie Monsters,11,Grand Rapids Griffins
45,17,Nashville Predators,6,Carolina Hurricanes ,24,Wilkes-Barre/Scranton Penguins,30,Hershey Bears
45,28,Toronto Maple Leafs,16,Montreal Canadiens ,26,Worcester Sharks,4,Portland Pirates
45,22,Philadelphia Flyers,30,Washington Capitals ,20,Hartford Wolf Pack,21,Binghampton Senators
45,18,New Jersey Devils,25,St.Louis Blues ,22,Adirondack Phantoms,27,Norfolk Admirals
45,20,New York Rangers,15,Minnesota Wild ,9,Springfield Falcons,1,Syracuse Crunch
45,8,Colorado Avalanche,10,Dallas Stars ,18,Albany Devils,13,Rochester Americans
45,7,Chicago Blackhawks,29,Vancouver Canucks ,15,Houston Aeros,2,Chicago Wolves
45,9,Columbus Blue Jackets,26,San Jose Sharks ,17,Milwaukee Admirals,10,Dallas Stars
45,-,-,-,-,5,Abbotsford Heat,25,Peoria Rivermen
46,5,Calgary Flames,11,Detroit Red Wings ,16,Hamilton Bulldogs,28,Toronto Marlies
46,19,New York Islanders,2,Atlanta Thrashers ,4,Portland Pirates,19,Bridgeport Sound Tigers
46,12,Edmonton Oilers,1,Anaheim Ducks ,3,Providence Bruins,14,Manchester Monarchs
46,23,Phoenix Coyotes,29,Vancouver Canucks ,9,Springfield Falcons,26,Worcester Sharks
46,-,-,-,-,21,Binghampton Senators,24,Wilkes-Barre/Scranton Penguins
46,-,-,-,-,7,Rockford IceHogs,25,Peoria Rivermen
46,-,-,-,-,8,Lake Erie Monsters,2,Chicago Wolves
46,-,-,-,-,20,Hartford Wolf Pack,30,Hershey Bears
46,-,-,-,-,10,Dallas Stars,15,Houston Aeros
46,-,-,-,-,1,Syracuse Crunch,13,Rochester Americans
46,-,-,-,-,17,Milwaukee Admirals,12,Oklahoma City Barons
47,30,Washington Capitals,18,New Jersey Devils ,27,Norfolk Admirals,6,Charlotte Checkers
47,17,Nashville Predators,9,Columbus Blue Jackets ,-,-,-,-
47,16,Montreal Canadiens,22,Philadelphia Flyers ,-,-,-,-
47,5,Calgary Flames,20,New York Rangers ,-,-,-,-
47,10,Dallas Stars,28,Toronto Maple Leafs ,-,-,-,-
47,14,Los Angeles Kings,21,Ottawa Senators ,-,-,-,-
47,24,Pittsburgh Penguins,13,Florida Panthers ,-,-,-,-
47,3,Boston Bruins,27,Tampa Bay Lightning ,-,-,-,-
48,12,Edmonton Oilers,23,Phoenix Coyotes ,8,Lake Erie Monsters,2,Chicago Wolves
48,-,-,-,-,17,Milwaukee Admirals,12,Oklahoma City Barons
49,9,Columbus Blue Jackets,19,New York Islanders ,11,Grand Rapids Griffins,28,Toronto Marlies
49,11,Detroit Red Wings,2,Atlanta Thrashers ,16,Hamilton Bulldogs,22,Adirondack Phantoms
49,30,Washington Capitals,6,Carolina Hurricanes ,3,Providence Bruins,19,Bridgeport Sound Tigers
49,24,Pittsburgh Penguins,4,Buffalo Sabres ,26,Worcester Sharks,30,Hershey Bears
49,14,Los Angeles Kings,16,Montreal Canadiens ,14,Manchester Monarchs,9,Springfield Falcons
49,3,Boston Bruins,13,Florida Panthers ,18,Albany Devils,24,Wilkes-Barre/Scranton Penguins
49,10,Dallas Stars,21,Ottawa Senators ,6,Charlotte Checkers,27,Norfolk Admirals
49,20,New York Rangers,27,Tampa Bay Lightning ,8,Lake Erie Monsters,7,Rockford IceHogs
49,5,Calgary Flames,18,New Jersey Devils ,15,Houston Aeros,10,Dallas Stars
49,25,St. Louis Blues,17,Nashville Predators ,-,-,-,-
49,22,Philadelphia Flyers,15,Minnesota Wild ,-,-,-,-
49,8,Colorado Avalanche,29,Vancouver Canucks ,-,-,-,-
49,7,Chicago Blackhawks,26,San Jose Sharks ,-,-,-,-
50,8,Colorado Avalanche,12,Edmonton Oilers ,24,Wilkes-Barre/Scranton Penguins,21,Binghampton Senators
51,6,Carolina Hurricanes,3,Boston Bruins ,20,Hartford Wolf Pack,19,Bridgeport Sound Tigers
51,18,New Jersey Devils,19,New York Islanders ,7,Rockford IceHogs,11,Grand Rapids Griffins
51,5,Calgary Flames,22,Philadelphia Flyers ,18,Albany Devils,14,Manchester Monarchs
51,21,Ottawa Senators,24,Pittsburgh Penguins ,9,Springfield Falcons,4,Portland Pirates
51,17,Nashville Predators,15,Minnesota Wild ,26,Worcester Sharks,3,Providence Bruins
51,7,Chicago Blackhawks,1,Anaheim Ducks ,27,Norfolk Admirals,22,Adirondack Phantoms
51,27,Tampa Bay Lightning,30,Washington Capitals ,16,Hamilton Bulldogs,21,Binghampton Senators
51,11,Detroit Red Wings,9,Columbus Blue Jackets ,12,Oklahoma City Barons,8,Lake Erie Monsters
51,16,Montreal Canadiens,2,Atlanta Thrashers ,30,Hershey Bears,1,Syracuse Crunch
51,28,Toronto Maple Leafs,4,Buffalo Sabres ,28,Toronto Marlies,13,Rochester Americans
51,20,New York Rangers,13,Florida Panthers ,2,Chicago Wolves,25,Peoria Rivermen
51,25,St. Louis Blues,10,Dallas Stars ,17,Milwaukee Admirals,10,Dallas Stars
51,26,San Jose Sharks,29,Vancouver Canucks ,23,San Antonio Rampage,15,Houston Aeros
51,-,-,-,-,29,Manitoba Moose,5,Abbotsford Heat
52,5,Calgary Flames,24,Pittsburgh Penguins ,12,Oklahoma City Barons,8,Lake Erie Monsters
52,22,Philadelphia Flyers,18,New Jersey Devils ,1,Syracuse Crunch,28,Toronto Marlies
52,4,Buffalo Sabres,16,Montreal Canadiens ,21,Binghampton Senators,18,Albany Devils
52,28,Toronto Maple Leafs,21,Ottawa Senators ,19,Bridgeport Sound Tigers,20,Hartford Wolf Pack
52,13,Florida Panthers,27,Tampa Bay Lightning ,22,Adirondack Phantoms,30,Hershey Bears
52,10,Dallas Stars,25,St.Louis Blues ,4,Portland Pirates,14,Manchester Monarchs
52,20,New York Rangers,17,Nashville Predators ,6,Charlotte Checkers,26,Worcester Sharks
52,1,Anaheim Ducks,23,Phoenix Coyotes ,13,Rochester Americans,24,Wilkes-Barre/Scranton Penguins
52,15,Minnesota Wild,8,Colorado Avalanche ,27,Norfolk Admirals,9,Springfield Falcons
52,26,San Jose Sharks,12,Edmonton Oilers ,11,Grand Rapids Griffins,2,Chicago Wolves
52,7,Chicago Blackhawks,14,Los Angeles Kings ,23,San Antonio Rampage,10,Dallas Stars
52,-,-,-,-,25,Peoria Rivermen,7,Rockford IceHogs
52,-,-,-,-,17,Milwaukee Admirals,15,Houston Aeros
52,-,-,-,-,29,Manitoba Moose,5,Abbotsford Heat
53,9,Columbus Blue Jackets,11,Detroit Red Wings ,27,Norfolk Admirals,19,Bridgeport Sound Tigers
53,3,Boston Bruins,2,Atlanta Thrashers ,24,Wilkes-Barre/Scranton Penguins,9,Springfield Falcons
53,6,Carolina Hurricanes,30,Washington Capitals ,16,Hamilton Bulldogs,1,Syracuse Crunch
53,-,-,-,-,14,Manchester Monarchs,26,Worcester Sharks
53,-,-,-,-,25,Peoria Rivermen,11,Grand Rapids Griffins
53,-,-,-,-,17,Milwaukee Admirals,23,San Antonio Rampage
53,-,-,-,-,4,Portland Pirates,3,Providence Bruins
53,-,-,-,-,22,Adirondack Phantoms,20,Hartford Wolf Pack
53,-,-,-,-,6,Charlotte Checkers,30,Hershey Bears
54,10,Dallas Stars,6,Carolina Hurricanes ,26,Worcester Sharks,1,Syracuse Crunch
54,24,Pittsburgh Penguins,20,New York Rangers ,14,Manchester Monarchs,23,San Antonio Rampage
54,12,Edmonton Oilers,21,Ottawa Senators ,10,Dallas Stars,5,Abbotsford Heat
54,15,Minnesota Wild,5,Calgary Flames ,12,Oklahoma City Barons,29,Manitoba Moose
54,14,Los Angeles Kings,1,Anaheim Ducks ,8,Lake Erie Monsters,15,Houston Aeros
55,27,Tampa Bay Lightning,28,Toronto Maple Leafs ,29,Manitoba Moose,2,Chicago Wolves
55,23,Phoenix Coyotes,17,Nashville Predators ,12,Oklahoma City Barons,10,Dallas Stars
55,25,St. Louis Blues,7,Chicago Blackhawks ,-,-,-,-
55,2,Atlanta Thrashers,8,Colorado Avalanche ,-,-,-,-
55,11,Detroit Red Wings,26,San Jose Sharks ,-,-,-,-
56,12,Edmonton Oilers,16,Montreal Canadiens ,24,Wilkes-Barre/Scranton Penguins,18,Albany Devils
56,17,Nashville Predators,9,Columbus Blue Jackets ,5,Abbotsford Heat,16,Hamilton Bulldogs
56,3,Boston Bruins,22,Philadelphia Flyers ,20,Hartford Wolf Pack,26,Worcester Sharks
56,30,Washington Capitals,25,St.Louis Blues ,29,Manitoba Moose,17,Milwaukee Admirals
56,23,Phoenix Coyotes,15,Minnesota Wild ,-,-,-,-
56,29,Vancouver Canucks,5,Calgary Flames ,-,-,-,-
56,13,Florida Panthers,1,Anaheim Ducks ,-,-,-,-
57,16,Montreal Canadiens,18,New Jersey Devils ,7,Rockford IceHogs,15,Houston Aeros
57,20,New York Rangers,19,New York Islanders ,-,-,-,-
57,12,Edmonton Oilers,28,Toronto Maple Leafs ,-,-,-,-
57,27,Tampa Bay Lightning,3,Boston Bruins ,-,-,-,-
57,2,Atlanta Thrashers,24,Pittsburgh Penguins ,-,-,-,-
57,26,San Jose Sharks,21,Ottawa Senators ,-,-,-,-
57,30,Washington Capitals,10,Dallas Stars ,-,-,-,-
57,13,Florida Panthers,14,Los Angeles Kings ,-,-,-,-
58,19,New York Islanders,20,New York Rangers ,30,Hershey Bears,18,Albany Devils
58,8,Colorado Avalanche,6,Carolina Hurricanes ,25,Peoria Rivermen,16,Hamilton Bulldogs
58,9,Columbus Blue Jackets,4,Buffalo Sabres ,27,Norfolk Admirals,14,Manchester Monarchs
58,5,Calgary Flames,15,Minnesota Wild ,5,Abbotsford Heat,28,Toronto Marlies
58,29,Vancouver Canucks,7,Chicago Blackhawks ,20,Hartford Wolf Pack,3,Providence Bruins
58,11,Detroit Red Wings,1,Anaheim Ducks ,21,Binghampton Senators,24,Wilkes-Barre/Scranton Penguins
58,-,-,-,-,2,Chicago Wolves,8,Lake Erie Monsters
58,-,-,-,-,19,Bridgeport Sound Tigers,9,Springfield Falcons
58,-,-,-,-,1,Syracuse Crunch,13,Rochester Americans
58,-,-,-,-,11,Grand Rapids Griffins,17,Milwaukee Admirals
58,-,-,-,-,12,Oklahoma City Barons,29,Manitoba Moose
58,-,-,-,-,23,San Antonio Rampage,10,Dallas Stars
58,-,-,-,-,7,Rockford IceHogs,15,Houston Aeros
59,18,New Jersey Devils,22,Philadelphia Flyers ,5,Abbotsford Heat,28,Toronto Marlies
59,26,San Jose Sharks,16,Montreal Canadiens ,2,Chicago Wolves,16,Hamilton Bulldogs
59,4,Buffalo Sabres,21,Ottawa Senators ,23,San Antonio Rampage,11,Grand Rapids Griffins
59,24,Pittsburgh Penguins,9,Columbus Blue Jackets ,26,Worcester Sharks,20,Hartford Wolf Pack
59,3,Boston Bruins,28,Toronto Maple Leafs ,21,Binghampton Senators,30,Hershey Bears
59,2,Atlanta Thrashers,30,Washington Capitals ,9,Springfield Falcons,14,Manchester Monarchs
59,8,Colorado Avalanche,27,Tampa Bay Lightning ,27,Norfolk Admirals,4,Portland Pirates
59,6,Carolina Hurricanes,17,Nashville Predators ,22,Adirondack Phantoms,24,Wilkes-Barre/Scranton Penguins
59,13,Florida Panthers,23,Phoenix Coyotes ,25,Peoria Rivermen,8,Lake Erie Monsters
59,15,Minnesota Wild,10,Dallas Stars ,18,Albany Devils,13,Rochester Americans
59,25,St. Louis Blues,12,Edmonton Oilers ,3,Providence Bruins,19,Bridgeport Sound Tigers
59,11,Detroit Red Wings,14,Los Angeles Kings ,15,Houston Aeros,10,Dallas Stars
59,-,-,-,-,12,Oklahoma City Barons,29,Manitoba Moose
60,22,Philadelphia Flyers,19,New York Islanders ,1,Syracuse Crunch,6,Charlotte Checkers
60,21,Ottawa Senators,20,New York Rangers ,27,Norfolk Admirals,9,Springfield Falcons
60,5,Calgary Flames,7,Chicago Blackhawks ,2,Chicago Wolves,28,Toronto Marlies
60,23,Phoenix Coyotes,1,Anaheim Ducks ,4,Portland Pirates,26,Worcester Sharks
60,25,St. Louis Blues,29,Vancouver Canucks ,22,Adirondack Phantoms,18,Albany Devils
60,-,-,-,-,23,San Antonio Rampage,11,Grand Rapids Griffins
60,-,-,-,-,14,Manchester Monarchs,3,Providence Bruins
60,-,-,-,-,17,Milwaukee Admirals,25,Peoria Rivermen
61,17,Nashville Predators,2,Atlanta Thrashers ,1,Syracuse Crunch,6,Charlotte Checkers
61,18,New Jersey Devils,24,Pittsburgh Penguins ,-,-,-,-
61,10,Dallas Stars,9,Columbus Blue Jackets ,-,-,-,-
61,26,San Jose Sharks,11,Detroit Red Wings ,-,-,-,-
61,28,Toronto Maple Leafs,30,Washington Capitals ,-,-,-,-
62,4,Buffalo Sabres,3,Boston Bruins ,26,Worcester Sharks,4,Portland Pirates
62,8,Colorado Avalanche,13,Florida Panthers ,15,Houston Aeros,12,Oklahoma City Barons
62,21,Ottawa Senators,16,Montreal Canadiens ,29,Manitoba Moose,10,Dallas Stars
62,27,Tampa Bay Lightning,5,Calgary Flames ,8,Lake Erie Monsters,5,Abbotsford Heat
62,1,Anaheim Ducks,12,Edmonton Oilers ,-,-,-,-
63,26,San Jose Sharks,22,Philadelphia Flyers ,30,Hershey Bears,18,Albany Devils
63,28,Toronto Maple Leafs,24,Pittsburgh Penguins ,9,Springfield Falcons,19,Bridgeport Sound Tigers
63,17,Nashville Predators,11,Detroit Red Wings ,17,Milwaukee Admirals,11,Grand Rapids Griffins
63,10,Dallas Stars,7,Chicago Blackhawks ,16,Hamilton Bulldogs,13,Rochester Americans
63,1,Anaheim Ducks,29,Vancouver Canucks ,28,Toronto Marlies,24,Wilkes-Barre/Scranton Penguins
63,-,-,-,-,1,Syracuse Crunch,27,Norfolk Admirals
63,-,-,-,-,10,Dallas Stars,7,Rockford IceHogs
63,-,-,-,-,23,San Antonio Rampage,2,Chicago Wolves
63,-,-,-,-,8,Lake Erie Monsters,5,Abbotsford Heat
64,22,Philadelphia Flyers,28,Toronto Maple Leafs ,28,Toronto Marlies,3,Providence Bruins
64,13,Florida Panthers,30,Washington Capitals ,16,Hamilton Bulldogs,4,Portland Pirates
64,26,San Jose Sharks,4,Buffalo Sabres ,19,Bridgeport Sound Tigers,21,Binghampton Senators
64,19,New York Islanders,3,Boston Bruins ,18,Albany Devils,24,Wilkes-Barre/Scranton Penguins
64,20,New York Rangers,21,Ottawa Senators ,20,Hartford Wolf Pack,22,Adirondack Phantoms
64,9,Columbus Blue Jackets,25,St.Louis Blues ,13,Rochester Americans,27,Norfolk Admirals
64,15,Minnesota Wild,23,Phoenix Coyotes ,6,Charlotte Checkers,2,Chicago Wolves
64,5,Calgary Flames,14,Los Angeles Kings ,-,-,-,-
65,16,Montreal Canadiens,11,Detroit Red Wings ,30,Hershey Bears,6,Charlotte Checkers
65,18,New Jersey Devils,21,Ottawa Senators ,10,Dallas Stars,11,Grand Rapids Griffins
65,8,Colorado Avalanche,2,Atlanta Thrashers ,26,Worcester Sharks,14,Manchester Monarchs
65,6,Carolina Hurricanes,10,Dallas Stars ,18,Albany Devils,21,Binghampton Senators
65,27,Tampa Bay Lightning,12,Edmonton Oilers ,4,Portland Pirates,3,Providence Bruins
65,5,Calgary Flames,1,Anaheim Ducks ,24,Wilkes-Barre/Scranton Penguins,27,Norfolk Admirals
65,-,-,-,-,22,Adirondack Phantoms,1,Syracuse Crunch
65,-,-,-,-,16,Hamilton Bulldogs,13,Rochester Americans
65,-,-,-,-,29,Manitoba Moose,12,Oklahoma City Barons
65,-,-,-,-,17,Milwaukee Admirals,7,Rockford IceHogs
65,-,-,-,-,23,San Antonio Rampage,15,Houston Aeros
65,-,-,-,-,2,Chicago Wolves,5,Abbotsford Heat
66,22,Philadelphia Flyers,3,Boston Bruins ,4,Portland Pirates,22,Adirondack Phantoms
66,16,Montreal Canadiens,28,Toronto Maple Leafs ,26,Worcester Sharks,18,Albany Devils
66,24,Pittsburgh Penguins,4,Buffalo Sabres ,14,Manchester Monarchs,20,Hartford Wolf Pack
66,8,Colorado Avalanche,30,Washington Capitals ,13,Rochester Americans,21,Binghampton Senators
66,2,Atlanta Thrashers,19,New York Islanders ,27,Norfolk Admirals,24,Wilkes-Barre/Scranton Penguins
66,11,Detroit Red Wings,18,New Jersey Devils ,28,Toronto Marlies,8,Lake Erie Monsters
66,20,New York Rangers,9,Columbus Blue Jackets ,3,Providence Bruins,9,Springfield Falcons
66,6,Carolina Hurricanes,25,St.Louis Blues ,19,Bridgeport Sound Tigers,1,Syracuse Crunch
66,10,Dallas Stars,23,Phoenix Coyotes ,29,Manitoba Moose,23,San Antonio Rampage
66,13,Florida Panthers,17,Nashville Predators ,11,Grand Rapids Griffins,25,Peoria Rivermen
66,27,Tampa Bay Lightning,29,Vancouver Canucks ,12,Oklahoma City Barons,7,Rockford IceHogs
66,7,Chicago Blackhawks,26,San Jose Sharks ,10,Dallas Stars,17,Milwaukee Admirals
66,15,Minnesota Wild,14,Los Angeles Kings ,2,Chicago Wolves,5,Abbotsford Heat
67,30,Washington Capitals,20,New York Rangers ,28,Toronto Marlies,16,Hamilton Bulldogs
67,15,Minnesota Wild,1,Anaheim Ducks ,30,Hershey Bears,6,Charlotte Checkers
67,29,Vancouver Canucks,12,Edmonton Oilers ,22,Adirondack Phantoms,20,Hartford Wolf Pack
67,-,-,-,-,15,Houston Aeros,8,Lake Erie Monsters
67,-,-,-,-,4,Portland Pirates,14,Manchester Monarchs
67,-,-,-,-,19,Bridgeport Sound Tigers,26,Worcester Sharks
67,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,18,Albany Devils
67,-,-,-,-,10,Dallas Stars,11,Grand Rapids Griffins
67,-,-,-,-,9,Springfield Falcons,3,Providence Bruins
67,-,-,-,-,21,Binghampton Senators,13,Rochester Americans
67,-,-,-,-,12,Oklahoma City Barons,17,Milwaukee Admirals
68,14,Los Angeles Kings,11,Detroit Red Wings ,7,Rockford IceHogs,30,Hershey Bears
68,2,Atlanta Thrashers,21,Ottawa Senators ,9,Springfield Falcons,25,Peoria Rivermen
68,19,New York Islanders,17,Nashville Predators ,11,Grand Rapids Griffins,17,Milwaukee Admirals
68,7,Chicago Blackhawks,8,Colorado Avalanche ,1,Syracuse Crunch,26,Worcester Sharks
68,9,Columbus Blue Jackets,5,Calgary Flames ,23,San Antonio Rampage,14,Manchester Monarchs
68,10,Dallas Stars,26,San Jose Sharks ,-,-,-,-
69,24,Pittsburgh Penguins,22,Philadelphia Flyers ,15,Houston Aeros,16,Hamilton Bulldogs
69,28,Toronto Maple Leafs,12,Edmonton Oilers ,5,Abbotsford Heat,13,Rochester Americans
69,-,-,-,-,29,Manitoba Moose,10,Dallas Stars
70,23,Phoenix Coyotes,18,New Jersey Devils ,20,Hartford Wolf Pack,22,Adirondack Phantoms
70,1,Anaheim Ducks,30,Washington Capitals ,15,Houston Aeros,11,Grand Rapids Griffins
70,20,New York Rangers,24,Pittsburgh Penguins ,5,Abbotsford Heat,24,Wilkes-Barre/Scranton Penguins
70,3,Boston Bruins,4,Buffalo Sabres ,2,Chicago Wolves,7,Rockford IceHogs
70,25,St. Louis Blues,11,Detroit Red Wings ,-,-,-,-
70,2,Atlanta Thrashers,27,Tampa Bay Lightning ,-,-,-,-
70,6,Carolina Hurricanes,13,Florida Panthers ,-,-,-,-
70,22,Philadelphia Flyers,16,Montreal Canadiens ,-,-,-,-
70,26,San Jose Sharks,17,Nashville Predators ,-,-,-,-
70,8,Colorado Avalanche,7,Chicago Blackhawks ,-,-,-,-
70,9,Columbus Blue Jackets,29,Vancouver Canucks ,-,-,-,-
71,1,Anaheim Ducks,19,New York Islanders ,-,-,-,-
71,23,Phoenix Coyotes,20,New York Rangers ,-,-,-,-
71,6,Carolina Hurricanes,2,Atlanta Thrashers ,-,-,-,-
71,3,Boston Bruins,16,Montreal Canadiens ,-,-,-,-
71,14,Los Angeles Kings,25,St.Louis Blues ,-,-,-,-
71,21,Ottawa Senators,15,Minnesota Wild ,-,-,-,-
71,26,San Jose Sharks,10,Dallas Stars ,-,-,-,-
71,28,Toronto Maple Leafs,5,Calgary Flames ,-,-,-,-
71,9,Columbus Blue Jackets,12,Edmonton Oilers ,-,-,-,-
72,17,Nashville Predators,18,New Jersey Devils ,9,Springfield Falcons,19,Bridgeport Sound Tigers
72,4,Buffalo Sabres,13,Florida Panthers ,25,Peoria Rivermen,11,Grand Rapids Griffins
72,11,Detroit Red Wings,7,Chicago Blackhawks ,26,Worcester Sharks,20,Hartford Wolf Pack
72,21,Ottawa Senators,8,Colorado Avalanche ,4,Portland Pirates,14,Manchester Monarchs
72,-,-,-,-,1,Syracuse Crunch,21,Binghampton Senators
72,-,-,-,-,16,Hamilton Bulldogs,12,Oklahoma City Barons
72,-,-,-,-,6,Charlotte Checkers,3,Providence Bruins
72,-,-,-,-,5,Abbotsford Heat,24,Wilkes-Barre/Scranton Penguins
72,-,-,-,-,30,Hershey Bears,22,Adirondack Phantoms
72,-,-,-,-,18,Albany Devils,27,Norfolk Admirals
72,-,-,-,-,28,Toronto Marlies,13,Rochester Americans
72,-,-,-,-,8,Lake Erie Monsters,17,Milwaukee Admirals
72,-,-,-,-,10,Dallas Stars,23,San Antonio Rampage
72,-,-,-,-,2,Chicago Wolves,7,Rockford IceHogs
72,-,-,-,-,15,Houston Aeros,29,Manitoba Moose
73,20,New York Rangers,22,Philadelphia Flyers ,13,Rochester Americans,28,Toronto Marlies
73,23,Phoenix Coyotes,19,New York Islanders ,5,Abbotsford Heat,22,Adirondack Phantoms
73,30,Washington Capitals,3,Boston Bruins ,26,Worcester Sharks,19,Bridgeport Sound Tigers
73,1,Anaheim Ducks,6,Carolina Hurricanes ,3,Providence Bruins,30,Hershey Bears
73,18,New Jersey Devils,2,Atlanta Thrashers ,14,Manchester Monarchs,4,Portland Pirates
73,10,Dallas Stars,9,Columbus Blue Jackets ,6,Charlotte Checkers,21,Binghampton Senators
73,4,Buffalo Sabres,27,Tampa Bay Lightning ,18,Albany Devils,27,Norfolk Admirals
73,26,San Jose Sharks,25,St.Louis Blues ,24,Wilkes-Barre/Scranton Penguins,1,Syracuse Crunch
73,14,Los Angeles Kings,17,Nashville Predators ,17,Milwaukee Admirals,2,Chicago Wolves
73,15,Minnesota Wild,5,Calgary Flames ,23,San Antonio Rampage,12,Oklahoma City Barons
73,28,Toronto Maple Leafs,29,Vancouver Canucks ,11,Grand Rapids Griffins,25,Peoria Rivermen
73,-,-,-,-,8,Lake Erie Monsters,7,Rockford IceHogs
73,-,-,-,-,15,Houston Aeros,29,Manitoba Moose
73,-,-,-,-,16,Hamilton Bulldogs,10,Dallas Stars
74,10,Dallas Stars,11,Detroit Red Wings ,4,Portland Pirates,19,Bridgeport Sound Tigers
74,30,Washington Capitals,21,Ottawa Senators ,26,Worcester Sharks,14,Manchester Monarchs
74,14,Los Angeles Kings,7,Chicago Blackhawks ,20,Hartford Wolf Pack,1,Syracuse Crunch
74,16,Montreal Canadiens,8,Colorado Avalanche ,8,Lake Erie Monsters,25,Peoria Rivermen
74,-,-,-,-,9,Springfield Falcons,3,Providence Bruins
74,-,-,-,-,6,Charlotte Checkers,30,Hershey Bears
74,-,-,-,-,21,Binghampton Senators,13,Rochester Americans
74,-,-,-,-,16,Hamilton Bulldogs,23,San Antonio Rampage
75,1,Anaheim Ducks,3,Boston Bruins ,12,Oklahoma City Barons,10,Dallas Stars
75,23,Phoenix Coyotes,24,Pittsburgh Penguins ,-,-,-,-
75,2,Atlanta Thrashers,28,Toronto Maple Leafs ,-,-,-,-
75,13,Florida Panthers,22,Philadelphia Flyers ,-,-,-,-
75,6,Carolina Hurricanes,27,Tampa Bay Lightning ,-,-,-,-
75,29,Vancouver Canucks,25,St.Louis Blues ,-,-,-,-
75,5,Calgary Flames,15,Minnesota Wild ,-,-,-,-
76,25,St. Louis Blues,2,Atlanta Thrashers ,20,Hartford Wolf Pack,14,Manchester Monarchs
76,1,Anaheim Ducks,4,Buffalo Sabres ,17,Milwaukee Admirals,2,Chicago Wolves
76,18,New Jersey Devils,30,Washington Capitals ,16,Hamilton Bulldogs,15,Houston Aeros
76,5,Calgary Flames,9,Columbus Blue Jackets ,28,Toronto Marlies,25,Peoria Rivermen
76,16,Montreal Canadiens,10,Dallas Stars ,-,-,-,-
76,14,Los Angeles Kings,8,Colorado Avalanche ,-,-,-,-
76,12,Edmonton Oilers,26,San Jose Sharks ,-,-,-,-
77,27,Tampa Bay Lightning,19,New York Islanders ,28,Toronto Marlies,11,Grand Rapids Griffins
77,29,Vancouver Canucks,11,Detroit Red Wings ,-,-,-,-
