Team Number,Prospect Name
4,Dustin Walsh
17,Corban Knight
29,Cody Sol
25,Maxime Legault
4,Mihail Pashnin
23,Brandon Maxwell
19,Daniel Maggio
4,Anders Lee
20,Connor Knapp
16,Andy Bathgate
4,Jordan Nolan
5,Mark Adams
6,Michael Pelech
5,Darcy Kuemper
11,David Pacan
5,Kyle Neuber
4,Michael Cichy
8,Oliver Lauridsen
7,Gabriel Bourque
30,Brett Flemming
10,Corey Cowick
4,Kirill Gotovets
12,Gus Young
6,Viktor Ekbom
23,David Kolomatis
12,Mitchell Callahan
8,Jordan Samuels-Thomas
17,David Shields
30,Eric Wellwood
4,Barron Smith
16,Curtis Gedig
24,Ben Sexton
4,Marek Viedensky
4,Michael Sdao
16,Ashton Bernard
8,Paul Phillips
8,Brad Peltz
12,Cameron Reid
24,Dominik Bielke
12,Zane Gothberg
21,Isaac MacLeod
6,Jesper Fasth
11,Gregg Sutch
10,Michael Parks
4,Frederik Andersen
29,Tyler Stahl
19,Randy McNaught
29,Kendall McFaull
21,Joe Rogalski
10,Corey Durocher
23,Bryce Aneloski
29,Kevin Lind
28,Brendan ODonnell
8,Martin Ouellette
17,Dalton Prout
12,Joonas Rask
21,Tanner Lane
24,David Elsner
7,Luke Moffatt
5,Andreas Dahlstrom
24,Ronald Boyd
21,Stephen MaCaulay
18,Josh Nicholls
6,Kristians Pelss
4,Brendan Ranford
14,Cody Rosen
30,Drew Czerwonka
27,Anthony Bitetto
21,Sebastian Owuya
4,Cedrick Henley
21,Reid McNeill
24,Nicholas Luukko
28,Dylen McKinlay
6,Christian Isackson
6,Macmillan Carruth
6,Patrick Holland
6,Peter Stoykewych
19,Brett Perlini
15,Mauro Jorg
19,Lee Moffie
18,Christopher Crane
6,Ricard Blidstrand
