Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProMinPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmMinPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
58,Sergei Bobrovsky,,15,RUS,1988-07-01,174,73,2,False,False,False,False,False,True,True,False,0,900000,900000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,2,2,2,89,81,81,78,88,91,89,91,90,90,71,58,58,50,29,82,29,89050,6,15,2,0,90,726,308,15,2,8,4,24,56,1,1,2,3,0,0,2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,Scott Clemmensen,,22,USA,1977-07-01,185,74,2,False,False,False,False,True,True,True,False,0,1000000,1000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,86,74,74,84,85,85,86,86,85,86,68,70,70,50,37,80,14,48758,6,5,2,0,39,363,171,0,0,4,0,13,69,0,1,0,2,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,Martin Brodeur,,18,CAN,1972-07-01,205,73,2,False,False,False,False,False,True,True,False,0,7000000,7000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,93,90,90,82,93,96,93,92,93,94,92,99,99,50,62,90,62,217259,31,21,10,0,166,1789,724,0,3,48,11,62,20,1,8,5,6,0,393,8610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
61,Tomas Vokoun,,30,CZE,1976-07-01,180,71,3,False,False,False,False,False,True,True,False,0,7000000,7000000,7000000,0,0,0,0,0,0,0,,0,99,0,2,2,2,2,2,2,2,2,2,2,94,91,91,78,94,92,95,94,94,94,95,83,83,50,44,88,48,164572,18,21,6,2,121,1332,525,0,4,18,6,46,35,1,4,5,2,327,327,6405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
62,Pascal Leclaire,,3,CAN,1982-07-01,200,74,1,False,False,False,False,False,True,True,False,0,2000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,78,81,81,82,80,81,79,81,80,80,77,64,64,50,72,76,14,46033,6,3,3,1,32,340,160,0,2,11,4,12,70,0,1,0,0,0,86,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
63,Henrik Karlsson,,11,SWE,1983-07-01,205,76,2,False,False,False,False,False,True,True,False,0,525000,525000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,80,76,84,89,78,79,77,82,81,80,74,55,56,50,19,76,7,25152,5,2,0,0,19,218,113,0,0,0,0,7,4,0,1,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
64,Ian Kerserich,,8,USA,1986-07-01,200,74,1,True,False,False,False,False,True,True,False,0,525000,0,0,0,0,0,0,0,0,0,,2,100,0,1,1,1,1,1,1,1,1,1,1,55,75,55,55,55,55,55,55,55,55,55,55,55,50,79,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,155618,29,12,2,3,141,1020,567,0,11,6,4,18,44,0,0,1,4,0,0,3659,False
194,Iiiro Tarkki,,9,FIN,1985-07-01,190,75,1,False,False,False,False,False,True,True,False,0,900000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,82,80,72,81,82,83,78,80,81,72,82,65,40,50,60,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,87221,18,4,2,3,55,541,241,0,2,6,1,24,0,0,3,2,1,0,0,3323,False
66,Stephen Valiquette,,0,CAN,1977-07-01,205,77,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,73,63,63,90,74,80,79,76,77,78,75,71,71,50,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
67,Josh Tordjman,,12,CAN,1985-07-01,155,73,2,False,False,False,False,False,True,True,False,0,600000,600000,0,0,0,0,0,0,0,0,,2,100,0,1,1,1,1,1,1,1,1,1,1,67,70,35,80,67,67,67,68,67,59,67,60,60,50,68,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,273027,46,24,5,3,205,1887,1011,2,6,26,7,45,0,3,3,5,6,0,0,10045,False
68,Alex Auld,,27,CAN,1981-07-01,197,76,2,False,False,False,False,False,True,True,False,0,1200000,1200000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,85,79,79,85,86,86,85,88,88,86,83,68,68,50,24,81,13,36916,2,7,0,0,33,276,139,0,0,3,0,9,73,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
69,Brian Elliott,,5,CAN,1985-07-01,186,75,3,False,False,False,False,False,True,True,False,0,1400000,1400000,1400000,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,91,84,83,82,90,93,92,92,90,89,92,60,60,0,63,83,14,45913,3,8,1,0,41,381,164,2,0,3,1,12,70,0,1,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
70,Josh Harding,,7,CAN,1984-07-01,197,73,1,False,False,False,False,False,True,True,False,0,2500000,0,0,0,0,0,0,0,0,0,,0,100,0,1,2,2,2,2,2,2,2,2,2,80,69,69,80,79,80,82,81,82,81,80,58,61,50,56,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
71,Dany Sabourin,,27,CAN,1980-07-01,182,74,1,False,False,False,False,False,True,True,False,0,850000,0,0,0,0,0,0,0,0,0,,0,100,0,1,2,2,2,2,2,2,2,2,2,73,57,57,86,72,75,72,74,73,74,69,53,53,50,87,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21766,4,1,1,0,16,131,72,0,3,0,0,2,45,0,0,1,0,0,0,407,False
72,Chris Mason,,3,CAN,1976-07-01,200,72,1,False,False,False,False,False,True,True,False,0,3000000,0,0,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,3,3,2,2,85,87,87,78,86,85,86,88,88,86,91,71,71,50,72,81,70,252800,39,25,6,1,169,2029,960,4,2,22,5,70,12,1,9,7,5,378,378,12017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
73,José Théodore,,13,CAN,1976-06-29,180,73,1,False,False,False,False,False,True,True,False,0,2000000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,2,2,2,2,89,84,84,76,91,87,88,91,91,88,78,86,86,0,29,84,55,180625,25,23,2,1,147,1457,642,4,3,15,3,52,33,2,6,4,3,800,800,7652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
74,Manny Fernandez,,0,CAN,1974-07-01,207,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,74,74,78,78,72,75,75,73,75,75,74,84,82,50,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
75,Brian Boucher,,1,USA,1977-07-01,190,73,2,False,False,False,False,True,True,True,False,0,1000000,1000000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,87,72,72,82,88,86,88,87,88,87,80,71,71,50,20,81,14,40711,8,2,0,0,35,341,144,2,2,0,0,10,35,0,1,1,0,0,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
76,Joey MacDonald,,12,CAN,1980-07-01,197,72,2,False,False,False,False,True,True,True,False,0,700000,700000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,86,80,80,78,79,85,84,87,87,85,88,64,64,50,70,79,11,40438,5,4,2,0,32,341,165,0,1,8,5,11,71,0,2,1,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
77,Timo Pielmeier,,24,GER,1989-07-01,165,72,3,True,False,False,False,False,True,True,False,0,650000,650000,650000,0,0,0,0,0,0,0,,21,100,0,1,1,1,1,1,1,1,1,1,1,58,56,62,64,59,54,58,56,59,60,57,55,55,50,66,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,250517,49,17,2,7,168,1622,973,17,5,21,6,43,0,1,4,3,5,0,0,9962,False
78,Cam Ward,,2,CAN,1984-07-01,200,72,2,False,False,False,False,False,True,True,False,0,6000000,6000000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,95,94,94,80,94,93,93,94,95,93,87,75,71,50,64,87,73,258742,39,23,10,2,187,2066,887,6,6,62,19,73,6,0,12,3,5,0,0,11445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
79,Billy Sauer,,25,USA,1988-07-01,180,74,3,False,False,False,False,False,True,True,False,0,550000,550000,550000,0,0,0,0,0,0,0,,10,100,0,1,1,1,1,1,1,1,1,1,1,47,66,55,55,51,65,70,49,61,54,59,55,55,50,71,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,940,0,0,0,0,0,7,3,0,0,0,0,0,32,0,0,0,0,0,0,0,False
80,Rick DiPietro,,21,USA,1982-07-01,200,72,1,False,False,False,False,False,True,True,False,0,2700000,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,88,72,72,80,82,82,81,81,81,81,82,73,73,50,59,78,21,62702,9,5,0,1,42,502,221,2,2,3,1,14,65,1,1,3,0,0,0,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
81,Antero Niittymaki,,8,FIN,1980-07-01,195,73,1,False,False,False,False,False,True,True,False,0,2200000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,2,2,2,2,2,2,86,79,72,80,87,86,86,89,86,83,88,73,73,50,35,81,43,144469,19,16,5,0,114,1159,498,4,4,41,8,41,40,1,3,5,2,378,378,5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
82,Ilya Bryzgalov,,6,RUS,1980-07-01,200,72,1,False,False,False,False,False,True,True,False,0,4000000,0,0,0,0,0,0,0,0,0,,0,99,0,3,2,2,2,2,2,2,2,2,2,94,91,91,84,93,94,95,93,95,94,82,78,78,50,49,88,72,256071,37,26,8,1,160,2032,793,15,4,35,15,72,1,4,7,11,5,257,257,13023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
83,Matt Climie,,4,CAN,1983-07-01,194,75,3,True,False,False,False,False,True,True,False,0,875000,875000,875000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,60,50,65,84,60,60,60,57,60,61,59,55,55,50,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4288,0,2,0,0,7,40,22,0,0,0,0,1,50,1,0,0,0,0,0,0,False
84,Evgeni Nabokov,,1,KAZ,1975-07-01,200,73,1,False,False,False,False,False,True,True,False,0,570000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,3,88,80,88,80,87,91,92,88,89,84,82,85,80,50,57,84,52,182180,28,19,4,2,130,1461,628,0,4,39,8,50,21,1,4,6,0,564,800,7416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
85,Allen York,,22,CAN,1989-07-01,185,76,4,True,False,False,False,False,True,True,False,0,550000,550000,550000,550000,0,0,0,0,0,0,,0,100,0,0,1,1,1,1,1,1,1,1,1,64,62,61,61,68,65,66,67,68,65,67,56,55,50,56,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
86,Jimmy Howard,,27,USA,1984-07-01,218,72,3,False,False,False,False,False,True,True,False,0,4250000,4250000,4250000,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,92,88,88,76,92,94,92,94,92,92,94,72,72,0,66,85,73,250119,41,24,5,2,166,1941,839,8,6,18,7,71,10,1,5,8,5,0,0,11681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
87,Michael Garnett,,0,CAN,1982-07-01,205,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,47,66,65,65,56,66,70,49,62,58,61,50,50,50,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
88,Anders Lindback,,19,SWE,1988-07-01,212,78,3,True,False,False,False,False,True,True,False,0,637500,637500,637500,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,3,3,2,2,87,80,80,91,86,90,90,87,87,89,82,54,54,50,77,81,52,186590,31,16,4,4,112,1387,595,4,2,35,4,51,6,2,7,4,5,360,379,8753,33,115311,25,5,2,5,86,744,291,0,5,9,3,0,0,0,2,4,3,0,0,4043,False
89,Pekka Rinne,,7,FIN,1982-07-01,207,77,5,False,False,False,False,False,True,True,False,0,6650000,6650000,6650000,6650000,6650000,0,0,0,0,0,,0,99,0,3,2,2,2,2,2,2,2,2,2,93,86,86,88,92,95,96,95,95,95,92,59,59,50,71,86,66,242275,35,22,9,3,161,1898,767,2,4,57,15,66,16,2,12,9,2,850,850,12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
90,Adam Berkhoel,,0,USA,1981-07-01,200,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,61,63,63,76,61,61,61,61,61,61,60,55,55,50,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
91,Braden Holtby,,30,CAN,1989-07-01,202,73,3,True,False,False,False,False,True,True,False,0,550000,550000,550000,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,87,80,80,78,85,89,88,90,89,89,80,55,55,50,53,80,8,27224,4,4,0,0,20,195,77,2,0,7,0,7,26,0,0,2,0,0,0,1125,18,64100,12,4,1,1,57,497,198,2,4,6,0,0,0,0,4,0,1,0,0,2127,False
92,Marc-André Fleury,,28,CAN,1984-06-29,172,73,5,False,False,False,False,False,True,True,False,0,5750000,5750000,5750000,5750000,5750000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,94,88,88,82,92,91,94,95,94,93,88,65,65,50,83,86,68,242893,42,20,5,4,156,1958,858,17,2,20,6,68,13,2,11,5,6,0,86,12448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
93,Henrik Lundqvist,,12,SWE,1982-07-01,200,72,1,False,False,False,False,False,True,True,False,0,7800000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,96,95,95,80,95,95,95,95,96,95,95,78,78,50,70,89,71,258112,41,21,9,5,147,2054,849,0,4,30,12,71,11,2,12,4,10,550,550,15227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
94,Marc Denis,,0,CAN,1977-07-01,190,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,68,67,70,84,68,68,68,73,68,68,69,80,75,50,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
95,Jonas Hiller,,25,SUI,1982-07-01,181,74,4,False,False,False,False,False,True,True,False,0,3850000,3850000,3850000,3850000,0,0,0,0,0,0,,0,98,0,3,3,2,2,2,2,2,2,2,2,92,77,87,82,92,93,91,92,91,92,96,69,69,50,66,84,62,221526,34,21,6,0,154,1794,724,2,2,29,4,61,16,2,4,4,6,156,456,9546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
174,Mikko Koskinen,,6,FIN,1988-07-01,187,77,3,True,False,False,False,False,True,True,False,0,900000,900000,900000,0,0,0,0,0,0,0,,20,100,0,1,0,0,0,0,0,0,0,0,0,66,75,75,78,66,66,66,65,66,67,66,55,55,50,73,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,51,179374,34,11,4,3,135,1217,702,2,8,14,6,34,0,0,2,3,3,0,0,4965,False
96,Jason Labarbera,,6,CAN,1980-07-01,200,72,1,False,False,False,False,False,True,True,False,0,1000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,84,71,71,84,85,86,86,85,85,86,79,71,71,50,68,80,14,42268,7,4,0,0,24,338,163,0,0,0,0,10,72,0,0,2,1,236,643,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
97,Adam Courchaine,,0,CAN,1989-07-01,185,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,53,50,65,84,53,53,53,56,53,56,54,58,63,50,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
98,Marty Turco,,18,CAN,1975-07-01,185,72,1,False,False,False,False,False,True,True,False,0,2000000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,2,2,85,77,77,76,84,86,84,87,87,86,72,81,81,50,43,81,44,144924,19,15,5,2,108,1181,523,0,1,28,10,38,46,0,2,5,0,225,225,5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
99,Adam Dennis,,0,CAN,1985-07-01,190,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,54,57,70,78,54,54,54,57,54,58,55,64,68,50,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100,Adam Munro,,0,CAN,1982-07-01,199,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,62,62,74,80,62,62,62,60,62,65,62,72,70,50,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
101,Al Montoya,,19,USA,1985-07-01,195,74,1,False,False,False,False,False,True,True,False,0,700000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,84,78,78,78,85,84,86,88,87,86,83,58,58,50,62,79,10,34733,2,7,1,0,30,260,116,17,0,0,0,10,72,0,0,1,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
102,Barry Brust,,0,CAN,1983-07-01,210,74,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,61,62,62,82,60,60,60,61,60,60,59,55,55,50,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
103,Bobby Goepfert,,0,USA,1983-07-01,170,70,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,54,51,50,74,54,54,54,57,54,53,55,67,68,50,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
104,Brent Krahn,,0,CAN,1982-07-01,220,77,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,61,57,85,88,61,61,61,55,61,67,60,70,71,50,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
105,Cedrick Desjardins,,4,CAN,1985-07-01,194,72,2,False,False,False,False,False,True,True,False,0,575000,575000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,73,76,84,89,76,72,70,75,75,73,76,55,53,50,67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,288493,54,21,4,6,186,1892,967,0,13,23,5,50,0,0,5,2,6,0,0,9802,False
106,Chris Beckford-Tseu,,0,CAN,1984-07-01,201,74,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,53,60,75,82,53,53,53,55,53,58,53,69,66,50,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
107,Chris Holt,,0,CAN,1985-07-01,221,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,69,60,85,84,69,69,69,64,69,73,68,66,66,50,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
108,Craig Kowalski,,0,USA,1981-07-01,190,68,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,55,56,70,70,55,55,55,59,55,59,56,69,74,50,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
109,Dan LaCosta,,21,CAN,1986-07-01,186,73,1,True,False,False,False,False,True,True,False,0,600000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,2,63,67,66,80,63,63,63,65,63,64,63,63,62,50,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,280756,42,33,2,5,236,1894,1020,2,2,15,1,46,0,2,4,10,14,0,0,6293,False
110,Dan Turple,,0,CAN,1985-07-01,220,78,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,54,56,85,90,54,54,54,55,54,62,54,66,67,50,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
111,Daniel Larsson,,28,CAN,1986-07-01,170,72,2,True,False,False,False,False,True,True,False,0,525000,525000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,69,70,65,76,69,69,69,71,69,68,69,54,54,50,62,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,60768,13,2,1,2,44,404,214,0,2,18,1,0,0,0,0,0,3,0,0,1760,False
112,Daniel Manzato,,0,CAN,1984-07-01,178,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,56,62,58,78,56,56,56,59,56,56,57,68,67,50,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
113,Daren Machesney,,0,CAN,1986-07-01,185,72,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,54,64,65,78,54,54,54,58,54,57,55,63,67,50,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
114,Dave Caruso,,0,USA,1982-07-01,218,71,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,50,57,84,76,50,50,50,56,50,58,51,66,70,50,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
115,David Brown,,0,CAN,1985-07-01,185,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,50,51,65,78,50,50,50,55,50,54,51,63,67,50,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
116,David Leggio,,0,CAN,1984-07-01,179,71,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,59,76,50,50,50,57,50,52,51,63,60,50,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
